time,wx (rad/s),wy (rad/s),wz (rad/s)
7.6770000000000005,0.56,0.58,2.66
7.68,0.55,0.54,2.66
7.682,0.54,0.51,2.65
7.684,0.53,0.47,2.64
7.687,0.51,0.44,2.64
7.69,0.5,0.41,2.63
7.692,0.49,0.37,2.62
7.694,0.48,0.33,2.61
7.697,0.46,0.3,2.59
7.699,0.45,0.27,2.58
7.702000000000001,0.44,0.24,2.57
7.704,0.43,0.21,2.56
7.707000000000001,0.41,0.18,2.55
7.709,0.4,0.15,2.54
7.712000000000001,0.39,0.13,2.53
7.7139999999999995,0.38,0.1,2.52
7.716,0.37,0.08,2.51
7.718999999999999,0.35,0.06,2.5
7.721,0.34,0.04,2.48
7.724,0.33,0.02,2.47
7.726,0.33,-0.0,2.46
7.729,0.32,-0.01,2.44
7.731,0.32,-0.03,2.42
7.734,0.32,-0.05,2.41
7.736000000000001,0.31,-0.07,2.39
7.739,0.3,-0.08,2.37
7.742000000000001,0.3,-0.1,2.36
7.747999999999999,0.29,-0.11,2.34
7.749,0.29,-0.12,2.33
7.749,0.28,-0.13,2.31
7.751,0.28,-0.14,2.28
7.752999999999999,0.27,-0.15,2.26
7.756,0.26,-0.16,2.24
7.7620000000000005,0.26,-0.17,2.21
7.7620000000000005,0.25,-0.17,2.19
7.763,0.25,-0.17,2.16
7.765,0.25,-0.17,2.14
7.769,0.24,-0.17,2.11
7.77,0.24,-0.18,2.09
7.773,0.25,-0.18,2.06
7.775,0.25,-0.18,2.03
7.778,0.25,-0.19,2.0
7.78,0.25,-0.19,1.97
7.7829999999999995,0.25,-0.19,1.94
7.785,0.25,-0.19,1.91
7.787999999999999,0.26,-0.19,1.88
7.791,0.26,-0.19,1.85
7.792999999999999,0.26,-0.19,1.82
7.795,0.27,-0.18,1.79
7.797000000000001,0.27,-0.18,1.75
7.8,0.28,-0.18,1.72
7.803,0.28,-0.18,1.69
7.805,0.29,-0.18,1.65
7.807,0.3,-0.18,1.61
7.81,0.31,-0.18,1.58
7.812,0.32,-0.17,1.54
7.815,0.32,-0.17,1.5
7.817,0.33,-0.17,1.47
7.819,0.34,-0.16,1.43
7.822,0.35,-0.16,1.4
7.825,0.36,-0.16,1.36
7.827999999999999,0.37,-0.16,1.32
7.829,0.38,-0.15,1.29
7.832000000000001,0.39,-0.15,1.25
7.834,0.4,-0.15,1.21
7.837000000000001,0.41,-0.14,1.17
7.8389999999999995,0.42,-0.14,1.14
7.841,0.43,-0.14,1.1
7.843999999999999,0.43,-0.14,1.06
7.848,0.44,-0.14,1.02
7.849,0.44,-0.14,0.97
7.852,0.44,-0.14,0.93
7.854,0.44,-0.14,0.89
7.856,0.45,-0.15,0.85
7.859,0.45,-0.15,0.81
7.861000000000001,0.45,-0.16,0.76
7.864,0.44,-0.16,0.72
7.8660000000000005,0.44,-0.16,0.68
7.872000000000001,0.44,-0.17,0.64
7.872000000000001,0.43,-0.17,0.6
7.874,0.43,-0.18,0.56
7.876,0.43,-0.18,0.52
7.877999999999999,0.42,-0.19,0.48
7.885,0.41,-0.19,0.44
7.885,0.41,-0.2,0.39
7.886,0.4,-0.2,0.35
7.888,0.4,-0.21,0.31
7.891,0.39,-0.21,0.27
7.893,0.38,-0.22,0.23
7.895,0.38,-0.22,0.19
7.898,0.37,-0.23,0.15
7.9,0.36,-0.24,0.11
7.904,0.35,-0.24,0.06
7.905,0.35,-0.25,0.02
7.9079999999999995,0.34,-0.25,-0.03
7.91,0.33,-0.25,-0.07
7.912999999999999,0.33,-0.25,-0.11
7.915,0.32,-0.26,-0.16
7.917999999999999,0.31,-0.26,-0.2
7.92,0.31,-0.26,-0.24
7.922000000000001,0.3,-0.26,-0.27
7.926,0.3,-0.26,-0.32
7.9270000000000005,0.3,-0.27,-0.36
7.93,0.29,-0.27,-0.4
7.932,0.29,-0.27,-0.45
7.935,0.29,-0.28,-0.49
7.937,0.29,-0.29,-0.53
7.94,0.29,-0.29,-0.58
7.942,0.29,-0.3,-0.63
7.944,0.3,-0.31,-0.68
7.95,0.3,-0.32,-0.73
7.9510000000000005,0.3,-0.33,-0.78
7.952000000000001,0.31,-0.34,-0.83
7.954,0.31,-0.35,-0.88
7.957000000000001,0.31,-0.36,-0.93
7.96,0.32,-0.38,-0.99
7.962000000000001,0.32,-0.39,-1.04
7.9639999999999995,0.33,-0.4,-1.1
7.9670000000000005,0.34,-0.42,-1.15
7.968999999999999,0.34,-0.43,-1.2
7.972,0.35,-0.44,-1.24
7.974,0.35,-0.45,-1.29
7.976,0.36,-0.46,-1.33
7.979,0.36,-0.47,-1.38
7.985,0.37,-0.47,-1.41
7.985,0.37,-0.48,-1.45
7.9879999999999995,0.38,-0.48,-1.48
7.989,0.38,-0.48,-1.51
7.992000000000001,0.39,-0.48,-1.54
7.999,0.39,-0.48,-1.56
8.0,0.4,-0.47,-1.59
8.0,0.41,-0.47,-1.61
8.001,0.43,-0.46,-1.63
8.004,0.44,-0.46,-1.65
8.006,0.46,-0.45,-1.67
8.008,0.48,-0.44,-1.68
8.011000000000001,0.5,-0.43,-1.7
8.013,0.52,-0.42,-1.71
8.016,0.55,-0.42,-1.73
8.017999999999999,0.57,-0.41,-1.74
8.021,0.6,-0.4,-1.76
8.023,0.63,-0.39,-1.77
8.026,0.66,-0.39,-1.78
8.027999999999999,0.69,-0.38,-1.8
8.03,0.73,-0.37,-1.81
8.033,0.76,-0.36,-1.83
8.035,0.79,-0.35,-1.84
8.038,0.82,-0.34,-1.86
8.04,0.85,-0.33,-1.88
8.043,0.89,-0.32,-1.9
8.045,0.92,-0.31,-1.93
8.049,0.95,-0.3,-1.95
8.05,0.98,-0.28,-1.98
8.052999999999999,1.01,-0.27,-2.01
8.055,1.04,-0.26,-2.04
8.057,1.06,-0.25,-2.08
8.06,1.09,-0.24,-2.12
8.062000000000001,1.11,-0.23,-2.17
8.065,1.14,-0.23,-2.21
8.068,1.16,-0.22,-2.26
8.07,1.18,-0.22,-2.31
8.072000000000001,1.19,-0.22,-2.36
8.075,1.21,-0.22,-2.4
8.077,1.21,-0.22,-2.45
8.079,1.22,-0.22,-2.49
8.083,1.22,-0.22,-2.53
8.084,1.21,-0.23,-2.56
8.087,1.21,-0.23,-2.59
8.089,1.19,-0.23,-2.62
8.092,1.17,-0.23,-2.65
8.203,1.15,-0.24,-2.67
8.203,1.12,-0.24,-2.68
8.204,1.1,-0.23,-2.7
8.204,1.07,-0.23,-2.7
8.204,1.03,-0.22,-2.7
8.205,0.99,-0.21,-2.7
8.205,0.96,-0.2,-2.69
8.205,0.92,-0.19,-2.67
8.205,0.88,-0.17,-2.65
8.205,0.83,-0.16,-2.63
8.206,0.79,-0.14,-2.6
8.206,0.74,-0.12,-2.56
8.206,0.7,-0.11,-2.53
8.206,0.66,-0.09,-2.49
8.206,0.61,-0.08,-2.46
8.206,0.57,-0.06,-2.42
8.207,0.53,-0.05,-2.38
8.207,0.49,-0.03,-2.35
8.207,0.45,-0.02,-2.31
8.207,0.42,-0.01,-2.28
8.207,0.39,0.01,-2.25
8.208,0.36,0.02,-2.23
8.208,0.33,0.03,-2.2
8.208,0.3,0.04,-2.19
8.208,0.28,0.05,-2.17
8.208,0.26,0.06,-2.15
8.209,0.23,0.06,-2.14
8.209,0.21,0.07,-2.14
8.209,0.19,0.06,-2.13
8.209,0.16,0.06,-2.14
8.209,0.14,0.06,-2.14
8.209,0.12,0.05,-2.15
8.21,0.1,0.04,-2.16
8.21,0.08,0.03,-2.17
8.21,0.05,0.02,-2.19
8.21,0.03,0.01,-2.2
8.21,0.02,-0.0,-2.22
8.21,-0.0,-0.01,-2.24
8.211,-0.02,-0.03,-2.26
8.211,-0.04,-0.04,-2.28
8.211,-0.05,-0.05,-2.3
8.211,-0.06,-0.06,-2.32
8.212,-0.07,-0.07,-2.34
8.212,-0.08,-0.08,-2.36
8.212,-0.08,-0.1,-2.38
8.212,-0.08,-0.12,-2.4
8.212,-0.08,-0.13,-2.42
8.213,-0.07,-0.15,-2.43
8.213,-0.06,-0.16,-2.44
8.214,-0.05,-0.18,-2.45
8.218,-0.04,-0.19,-2.45
8.22,-0.03,-0.21,-2.46
8.222000000000001,-0.02,-0.22,-2.46
8.224,0.0,-0.23,-2.46
8.238,0.02,-0.24,-2.45
8.238,0.03,-0.24,-2.44
8.238999999999999,0.05,-0.24,-2.44
8.238999999999999,0.07,-0.24,-2.42
8.238999999999999,0.09,-0.23,-2.41
8.238999999999999,0.12,-0.22,-2.39
8.241,0.14,-0.21,-2.37
8.244,0.16,-0.19,-2.34
8.246,0.19,-0.17,-2.32
8.249,0.21,-0.15,-2.29
8.252,0.24,-0.13,-2.26
8.254,0.27,-0.1,-2.24
8.256,0.3,-0.08,-2.21
8.259,0.34,-0.06,-2.18
8.264,0.37,-0.03,-2.14
8.264,0.41,-0.0,-2.11
8.266,0.44,0.02,-2.08
8.267999999999999,0.48,0.04,-2.05
8.271,0.52,0.06,-2.02
8.277999999999999,0.55,0.09,-1.99
8.279,0.59,0.11,-1.96
8.279,0.62,0.13,-1.93
8.281,0.65,0.16,-1.91
8.283999999999999,0.68,0.18,-1.88
8.286,0.7,0.21,-1.86
8.288,0.73,0.24,-1.85
8.29,0.75,0.27,-1.83
8.293,0.77,0.3,-1.82
8.296,0.78,0.32,-1.8
8.298,0.79,0.35,-1.8
8.3,0.81,0.38,-1.79
8.302999999999999,0.82,0.41,-1.79
8.306000000000001,0.83,0.44,-1.79
8.308,0.83,0.47,-1.79
8.31,0.84,0.49,-1.79
8.312999999999999,0.85,0.52,-1.79
8.315,0.85,0.54,-1.79
8.318,0.86,0.56,-1.8
8.32,0.87,0.58,-1.8
8.322000000000001,0.87,0.6,-1.8
8.325,0.87,0.61,-1.8
8.328,0.87,0.62,-1.8
8.33,0.86,0.62,-1.8
8.332,0.86,0.62,-1.79
8.335,0.86,0.62,-1.78
8.337,0.85,0.62,-1.77
8.34,0.84,0.62,-1.76
8.342,0.83,0.62,-1.75
8.344,0.82,0.61,-1.74
8.347999999999999,0.81,0.61,-1.72
8.349,0.79,0.6,-1.7
8.352,0.77,0.59,-1.67
8.354,0.76,0.58,-1.65
8.357000000000001,0.74,0.57,-1.63
8.36,0.72,0.55,-1.6
8.363,0.7,0.53,-1.57
8.363999999999999,0.67,0.52,-1.54
8.367,0.65,0.5,-1.51
8.369,0.62,0.48,-1.48
8.371,0.6,0.46,-1.44
8.374,0.57,0.44,-1.4
8.377,0.55,0.42,-1.37
8.379,0.52,0.4,-1.33
8.381,0.5,0.39,-1.3
8.387,0.48,0.37,-1.26
8.387,0.45,0.35,-1.22
8.389,0.43,0.33,-1.18
8.391,0.41,0.31,-1.14
8.394,0.38,0.28,-1.1
8.399,0.36,0.26,-1.06
8.399,0.33,0.24,-1.02
8.401,0.31,0.21,-0.98
8.402999999999999,0.28,0.19,-0.95
8.407,0.25,0.17,-0.92
8.408,0.22,0.15,-0.89
8.411,0.19,0.14,-0.86
8.413,0.17,0.13,-0.84
8.416,0.14,0.11,-0.81
8.419,0.12,0.11,-0.79
8.421,0.1,0.1,-0.77
8.423,0.08,0.1,-0.76
8.425,0.06,0.1,-0.74
8.427999999999999,0.05,0.1,-0.73
8.43,0.04,0.1,-0.71
8.433,0.03,0.11,-0.69
8.435,0.03,0.12,-0.68
8.437999999999999,0.02,0.14,-0.67
8.441,0.02,0.15,-0.66
8.443,0.02,0.17,-0.65
8.445,0.03,0.19,-0.63
8.448,0.04,0.21,-0.62
8.45,0.05,0.24,-0.61
8.453,0.06,0.26,-0.59
8.455,0.07,0.29,-0.58
8.458,0.09,0.32,-0.56
8.46,0.11,0.34,-0.55
8.464,0.12,0.37,-0.54
8.465,0.14,0.39,-0.52
8.468,0.17,0.42,-0.51
8.47,0.19,0.44,-0.49
8.472000000000001,0.21,0.46,-0.48
8.475,0.24,0.48,-0.46
8.477,0.26,0.5,-0.44
8.48,0.28,0.51,-0.42
8.482000000000001,0.3,0.52,-0.41
8.485,0.33,0.53,-0.39
8.487,0.35,0.55,-0.37
8.488999999999999,0.37,0.56,-0.35
8.492,0.38,0.57,-0.33
8.494,0.4,0.58,-0.31
8.5,0.41,0.59,-0.29
8.5,0.43,0.6,-0.26
8.502,0.44,0.62,-0.24
8.504,0.45,0.63,-0.22
8.507,0.46,0.64,-0.19
8.515,0.47,0.66,-0.17
8.516,0.48,0.67,-0.14
8.516,0.49,0.69,-0.11
8.516,0.49,0.7,-0.08
8.519,0.5,0.72,-0.06
8.521,0.5,0.73,-0.03
8.524,0.51,0.74,-0.0
8.526,0.51,0.75,0.03
8.529,0.52,0.77,0.06
8.531,0.52,0.78,0.09
8.533999999999999,0.53,0.79,0.11
8.536,0.53,0.81,0.14
8.538,0.53,0.82,0.16
8.542,0.54,0.83,0.18
8.543,0.54,0.84,0.2
8.546,0.55,0.85,0.22
8.548,0.55,0.86,0.24
8.551,0.56,0.87,0.26
8.552999999999999,0.56,0.87,0.27
8.556000000000001,0.57,0.88,0.29
8.558,0.57,0.89,0.31
8.561,0.58,0.9,0.33
8.564,0.58,0.91,0.35
8.566,0.59,0.92,0.37
8.568,0.6,0.93,0.39
8.57,0.6,0.93,0.41
8.573,0.61,0.94,0.43
8.575,0.62,0.95,0.45
8.578,0.63,0.95,0.47
8.58,0.64,0.96,0.49
8.582,0.65,0.96,0.51
8.586,0.65,0.97,0.53
8.588,0.67,0.97,0.55
8.59,0.67,0.98,0.57
8.592,0.68,0.98,0.59
8.596,0.69,0.98,0.61
8.597999999999999,0.7,0.99,0.63
8.6,0.71,0.99,0.65
8.602,0.72,0.99,0.67
8.605,0.72,1.0,0.7
8.607000000000001,0.73,1.0,0.72
8.61,0.74,1.0,0.74
8.612,0.74,1.01,0.77
8.613999999999999,0.75,1.01,0.8
8.617,0.75,1.02,0.83
8.622,0.75,1.04,0.86
8.622,0.75,1.06,0.9
8.624,0.75,1.07,0.94
8.628,0.75,1.09,0.97
8.629,0.75,1.11,1.0
8.637,0.75,1.13,1.03
8.638,0.76,1.15,1.06
8.638,0.77,1.17,1.08
8.639,0.78,1.19,1.1
8.642999999999999,0.79,1.2,1.11
8.644,0.8,1.21,1.12
8.647,0.82,1.22,1.13
8.649,0.83,1.22,1.13
8.651,0.85,1.22,1.13
8.654,0.86,1.21,1.14
8.656,0.88,1.2,1.14
8.658999999999999,0.89,1.19,1.14
8.661,0.89,1.18,1.15
8.664,0.9,1.17,1.16
8.666,0.9,1.15,1.17
8.669,0.89,1.13,1.19
8.671,0.88,1.11,1.22
8.673,0.87,1.09,1.24
8.677,0.85,1.07,1.27
8.677999999999999,0.83,1.05,1.3
8.681000000000001,0.8,1.03,1.33
8.683,0.78,1.01,1.37
8.686,0.75,0.98,1.4
8.687999999999999,0.72,0.96,1.43
8.691,0.69,0.93,1.46
8.693,0.65,0.9,1.49
8.695,0.62,0.87,1.53
8.699,0.58,0.83,1.57
8.7,0.54,0.79,1.6
8.703,0.51,0.75,1.64
8.705,0.47,0.71,1.68
8.708,0.44,0.67,1.72
8.71,0.4,0.63,1.75
8.713,0.36,0.59,1.8
8.715,0.33,0.55,1.84
8.717,0.3,0.52,1.88
8.721,0.27,0.48,1.92
8.722999999999999,0.24,0.45,1.96
8.725,0.21,0.42,2.0
8.727,0.19,0.4,2.04
8.73,0.17,0.37,2.08
8.732000000000001,0.15,0.35,2.12
8.735,0.13,0.34,2.16
8.737,0.11,0.32,2.2
8.74,0.09,0.31,2.24
8.743,0.08,0.3,2.28
8.746,0.06,0.29,2.31
8.748,0.05,0.29,2.35
8.75,0.04,0.28,2.39
8.753,0.03,0.29,2.42
8.761000000000001,0.02,0.29,2.45
8.762,0.02,0.29,2.48
8.762,0.01,0.3,2.51
8.762,0.01,0.31,2.54
8.764,0.0,0.32,2.57
8.767000000000001,-0.0,0.33,2.59
8.769,-0.01,0.34,2.61
8.772,-0.02,0.36,2.63
8.775,-0.03,0.36,2.65
8.777000000000001,-0.04,0.37,2.66
8.779,-0.06,0.37,2.67
8.781,-0.07,0.37,2.68
8.783999999999999,-0.09,0.36,2.68
8.786,-0.11,0.35,2.68
8.789,-0.13,0.33,2.68
8.791,-0.15,0.3,2.67
8.794,-0.17,0.27,2.66
8.796,-0.19,0.23,2.65
8.799,-0.22,0.19,2.64
8.801,-0.24,0.15,2.63
8.802999999999999,-0.27,0.1,2.62
8.806000000000001,-0.29,0.06,2.6
8.808,-0.32,0.01,2.59
8.811,-0.34,-0.03,2.58
8.814,-0.37,-0.08,2.57
8.816,-0.39,-0.11,2.56
8.818,-0.42,-0.15,2.55
8.822000000000001,-0.45,-0.18,2.54
8.823,-0.48,-0.22,2.54
8.825,-0.51,-0.25,2.53
8.828,-0.54,-0.29,2.52
8.83,-0.56,-0.32,2.51
8.833,-0.59,-0.34,2.5
8.835,-0.62,-0.35,2.51
8.838,-0.64,-0.36,2.52
8.84,-0.66,-0.38,2.53
8.844,-0.68,-0.4,2.54
8.845,-0.7,-0.42,2.55
8.847999999999999,-0.72,-0.43,2.56
8.85,-0.73,-0.44,2.56
8.853,-0.74,-0.45,2.55
8.857000000000001,-0.75,-0.46,2.54
8.857999999999999,-0.75,-0.46,2.53
8.86,-0.75,-0.46,2.51
8.863,-0.75,-0.46,2.5
8.865,-0.74,-0.45,2.49
8.872,-0.73,-0.44,2.47
8.872,-0.71,-0.43,2.46
8.872,-0.69,-0.42,2.45
8.875,-0.67,-0.41,2.43
8.877,-0.65,-0.39,2.42
8.88,-0.62,-0.38,2.4
8.882,-0.59,-0.36,2.39
8.884,-0.56,-0.35,2.38
8.887,-0.53,-0.33,2.36
8.889,-0.5,-0.32,2.35
8.892000000000001,-0.47,-0.3,2.34
8.894,-0.44,-0.28,2.32
8.897,-0.41,-0.26,2.31
8.9,-0.38,-0.24,2.29
8.902000000000001,-0.36,-0.22,2.28
8.904,-0.33,-0.2,2.27
8.908,-0.3,-0.17,2.25
8.908999999999999,-0.27,-0.15,2.24
8.912,-0.25,-0.13,2.22
8.914,-0.22,-0.1,2.21
8.916,-0.19,-0.08,2.19
8.919,-0.16,-0.06,2.18
8.922,-0.14,-0.05,2.16
8.924,-0.11,-0.03,2.15
8.926,-0.08,-0.01,2.13
8.929,-0.05,0.0,2.12
8.931000000000001,-0.03,0.02,2.1
8.934,-0.01,0.03,2.09
8.936,0.02,0.04,2.07
8.937999999999999,0.04,0.05,2.05
8.941,0.07,0.07,2.04
8.943,0.09,0.08,2.03
8.946,0.11,0.09,2.01
8.948,0.13,0.11,2.0
8.951,0.15,0.12,1.98
8.953,0.17,0.13,1.97
8.956,0.2,0.14,1.95
8.958,0.21,0.15,1.93
8.96,0.24,0.15,1.91
8.963,0.26,0.16,1.9
8.965,0.28,0.16,1.88
8.968,0.29,0.16,1.86
8.97,0.31,0.16,1.84
8.972999999999999,0.33,0.16,1.82
8.975,0.35,0.16,1.8
8.979,0.36,0.15,1.78
8.98,0.38,0.15,1.76
8.982000000000001,0.39,0.14,1.74
8.985,0.4,0.13,1.72
8.988,0.41,0.12,1.7
8.99,0.42,0.11,1.68
8.992,0.43,0.11,1.66
8.995,0.43,0.1,1.64
8.997,0.44,0.1,1.62
9.0,0.44,0.1,1.6
9.004,0.44,0.09,1.58
9.005,0.45,0.09,1.56
9.007,0.45,0.09,1.54
9.01,0.45,0.09,1.52
9.021,0.46,0.08,1.5
9.022,0.46,0.09,1.48
9.022,0.46,0.08,1.45
9.022,0.47,0.09,1.43
9.023,0.47,0.09,1.4
9.024,0.47,0.09,1.38
9.027999999999999,0.48,0.09,1.35
9.029,0.49,0.1,1.32
9.031,0.49,0.1,1.3
9.035,0.5,0.11,1.27
9.037,0.5,0.11,1.24
9.039,0.51,0.12,1.2
9.041,0.52,0.13,1.17
9.044,0.52,0.14,1.14
9.046,0.53,0.14,1.1
9.049,0.54,0.15,1.06
9.051,0.55,0.16,1.02
9.054,0.56,0.16,0.97
9.057,0.57,0.17,0.93
9.059,0.58,0.17,0.88
9.061,0.59,0.17,0.83
9.062999999999999,0.6,0.17,0.78
9.066,0.61,0.16,0.73
9.068999999999999,0.63,0.15,0.67
9.071,0.64,0.14,0.62
9.073,0.66,0.12,0.57
9.196,0.67,0.11,0.51
9.196,0.68,0.09,0.46
9.196,0.69,0.08,0.42
9.197000000000001,0.7,0.06,0.37
9.197000000000001,0.71,0.05,0.33
9.197000000000001,0.72,0.03,0.29
9.197000000000001,0.72,0.02,0.25
9.197000000000001,0.72,0.01,0.22
9.197000000000001,0.72,0.0,0.18
9.198,0.71,-0.01,0.14
9.198,0.71,-0.01,0.11
9.198,0.7,-0.02,0.08
9.198,0.69,-0.03,0.04
9.198,0.68,-0.05,0.0
9.198,0.66,-0.06,-0.03
9.199,0.65,-0.07,-0.07
9.199,0.63,-0.09,-0.1
9.199,0.62,-0.1,-0.13
9.199,0.6,-0.12,-0.16
9.199,0.59,-0.13,-0.19
9.199,0.57,-0.14,-0.21
9.2,0.56,-0.15,-0.24
9.2,0.54,-0.16,-0.26
9.2,0.53,-0.17,-0.29
9.2,0.51,-0.18,-0.31
9.2,0.5,-0.18,-0.33
9.2,0.49,-0.19,-0.35
9.2,0.48,-0.19,-0.37
9.201,0.46,-0.19,-0.38
9.201,0.46,-0.19,-0.4
9.201,0.44,-0.19,-0.42
9.201,0.44,-0.19,-0.44
9.201,0.43,-0.18,-0.45
9.201,0.42,-0.18,-0.47
9.201,0.42,-0.18,-0.49
9.202,0.41,-0.17,-0.5
9.202,0.41,-0.16,-0.52
9.202,0.4,-0.16,-0.54
9.202,0.4,-0.15,-0.57
9.202,0.4,-0.15,-0.59
9.203,0.4,-0.14,-0.62
9.203,0.39,-0.14,-0.65
9.203,0.39,-0.13,-0.68
9.203,0.39,-0.13,-0.71
9.203,0.39,-0.13,-0.75
9.204,0.39,-0.12,-0.78
9.204,0.39,-0.12,-0.82
9.204,0.39,-0.11,-0.85
9.204,0.39,-0.11,-0.89
9.204,0.39,-0.11,-0.92
9.204,0.39,-0.1,-0.96
9.204,0.38,-0.1,-1.0
9.204,0.38,-0.1,-1.03
9.207,0.38,-0.1,-1.07
9.208,0.37,-0.1,-1.1
9.211,0.37,-0.09,-1.14
9.214,0.36,-0.1,-1.18
9.216000000000001,0.36,-0.1,-1.21
9.218,0.35,-0.1,-1.25
9.221,0.34,-0.09,-1.29
9.222999999999999,0.34,-0.09,-1.32
9.229,0.34,-0.09,-1.36
9.229,0.34,-0.09,-1.39
9.231,0.34,-0.09,-1.43
9.232999999999999,0.34,-0.08,-1.46
9.236,0.34,-0.07,-1.49
9.252,0.35,-0.07,-1.52
9.253,0.36,-0.06,-1.55
9.253,0.37,-0.06,-1.58
9.253,0.38,-0.06,-1.61
9.253,0.4,-0.06,-1.64
9.253,0.41,-0.06,-1.67
9.253,0.43,-0.06,-1.7
9.255,0.45,-0.06,-1.72
9.269,0.46,-0.07,-1.75
9.269,0.48,-0.07,-1.78
9.269,0.5,-0.07,-1.8
9.27,0.52,-0.07,-1.82
9.27,0.54,-0.08,-1.84
9.27,0.56,-0.08,-1.87
9.272,0.57,-0.07,-1.89
9.274,0.59,-0.07,-1.9
9.277000000000001,0.6,-0.07,-1.92
9.279,0.62,-0.07,-1.94
9.282,0.63,-0.07,-1.95
9.283999999999999,0.65,-0.07,-1.97
9.287,0.66,-0.06,-1.98
9.289,0.68,-0.06,-2.0
9.293,0.69,-0.06,-2.01
9.294,0.7,-0.05,-2.03
9.297,0.72,-0.04,-2.05
9.299,0.73,-0.04,-2.06
9.301,0.75,-0.03,-2.07
9.304,0.76,-0.02,-2.08
9.308,0.77,-0.01,-2.1
9.309,0.79,-0.0,-2.11
9.311,0.8,0.01,-2.13
9.315,0.81,0.01,-2.14
9.316,0.83,0.02,-2.16
9.318999999999999,0.84,0.03,-2.17
9.321,0.85,0.04,-2.19
9.324,0.86,0.05,-2.21
9.326,0.87,0.06,-2.22
9.329,0.88,0.07,-2.24
9.331,0.89,0.08,-2.26
9.333,0.9,0.08,-2.27
9.337,0.91,0.09,-2.29
9.338,0.91,0.1,-2.31
9.341000000000001,0.92,0.11,-2.32
9.343,0.93,0.11,-2.33
9.346,0.93,0.12,-2.35
9.347999999999999,0.93,0.13,-2.36
9.351,0.94,0.13,-2.36
9.353,0.94,0.14,-2.38
9.355,0.94,0.15,-2.38
9.359,0.93,0.15,-2.39
9.36,0.93,0.16,-2.4
9.363,0.93,0.16,-2.41
9.365,0.92,0.17,-2.41
9.368,0.91,0.17,-2.42
9.373,0.9,0.18,-2.42
9.373,0.89,0.17,-2.43
9.375,0.87,0.17,-2.42
9.378,0.85,0.17,-2.42
9.38,0.84,0.16,-2.42
9.39,0.81,0.16,-2.42
9.39,0.79,0.15,-2.42
9.391,0.77,0.13,-2.43
9.391,0.73,0.12,-2.42
9.394,0.7,0.11,-2.42
9.395,0.67,0.09,-2.42
9.398,0.64,0.08,-2.42
9.4,0.6,0.06,-2.42
9.402000000000001,0.57,0.05,-2.41
9.405,0.53,0.03,-2.41
9.407,0.49,0.02,-2.4
9.408999999999999,0.45,0.0,-2.39
9.412,0.41,-0.02,-2.39
9.415,0.37,-0.04,-2.39
9.417,0.33,-0.05,-2.38
9.419,0.29,-0.07,-2.37
9.422,0.24,-0.09,-2.37
9.424,0.2,-0.11,-2.36
9.427999999999999,0.15,-0.13,-2.35
9.429,0.11,-0.14,-2.34
9.432,0.06,-0.16,-2.33
9.434,0.02,-0.18,-2.32
9.437999999999999,-0.02,-0.19,-2.3
9.439,-0.06,-0.2,-2.29
9.441,-0.1,-0.21,-2.28
9.443999999999999,-0.14,-0.22,-2.26
9.446,-0.18,-0.23,-2.25
9.449,-0.22,-0.24,-2.23
9.452,-0.25,-0.24,-2.22
9.454,-0.28,-0.25,-2.2
9.456,-0.3,-0.25,-2.18
9.459,-0.33,-0.25,-2.17
9.461,-0.35,-0.26,-2.15
9.463,-0.36,-0.27,-2.14
9.466000000000001,-0.38,-0.28,-2.12
9.468,-0.39,-0.29,-2.11
9.472000000000001,-0.4,-0.31,-2.09
9.472999999999999,-0.41,-0.32,-2.07
9.476,-0.42,-0.34,-2.04
9.478,-0.43,-0.36,-2.02
9.481,-0.44,-0.39,-1.99
9.482999999999999,-0.45,-0.41,-1.96
9.486,-0.46,-0.43,-1.93
9.488,-0.48,-0.45,-1.9
9.49,-0.5,-0.47,-1.87
9.494,-0.51,-0.49,-1.84
9.495,-0.53,-0.51,-1.8
9.498,-0.55,-0.53,-1.77
9.5,-0.58,-0.55,-1.73
9.503,-0.6,-0.57,-1.7
9.505,-0.62,-0.58,-1.67
9.508,-0.64,-0.6,-1.64
9.51,-0.67,-0.61,-1.61
9.512,-0.7,-0.63,-1.58
9.519,-0.72,-0.64,-1.56
9.52,-0.75,-0.66,-1.53
9.52,-0.77,-0.67,-1.51
9.522,-0.8,-0.68,-1.48
9.526,-0.83,-0.69,-1.46
9.533999999999999,-0.85,-0.7,-1.44
9.535,-0.87,-0.7,-1.42
9.535,-0.9,-0.71,-1.41
9.535,-0.92,-0.71,-1.39
9.538,-0.93,-0.71,-1.37
9.54,-0.95,-0.71,-1.36
9.542,-0.96,-0.71,-1.35
9.544,-0.97,-0.7,-1.34
9.548,-0.98,-0.7,-1.32
9.55,-0.98,-0.69,-1.31
9.552,-0.99,-0.69,-1.3
9.554,-0.99,-0.68,-1.29
9.557,-1.01,-0.7,-1.27
9.559,-1.03,-0.74,-1.26
9.562000000000001,-1.06,-0.74,-1.24
9.564,-1.08,-0.73,-1.22
9.567,-1.09,-0.71,-1.21
9.568999999999999,-1.1,-0.69,-1.2
9.572000000000001,-1.11,-0.66,-1.19
9.574,-1.11,-0.62,-1.19
9.576,-1.11,-0.58,-1.18
9.579,-1.09,-0.53,-1.17
9.581,-1.08,-0.49,-1.17
9.584,-1.06,-0.45,-1.16
