time,gFx,gFy,gFz,TgF
5.203,-0.7526,-0.6943,0.1821,1.04
5.205,-0.7716,-0.699,0.187,1.058
5.209,-0.7922,-0.7051,0.1914,1.078
5.211,-0.8137,-0.7097,0.1937,1.097
5.213,-0.8351,-0.7135,0.1933,1.115
5.215,-0.8551,-0.72,0.1933,1.1340000000000001
5.217,-0.8765,-0.7266,0.1908,1.1540000000000001
5.22,-0.8949,-0.7327,0.1883,1.172
5.223,-0.9154,-0.7408,0.1834,1.192
5.225,-0.9348,-0.7473,0.1781,1.21
5.227,-0.9552,-0.7554,0.1716,1.23
5.231,-0.9706,-0.7649,0.1638,1.247
5.233,-0.9851,-0.7719,0.156,1.261
5.235,-0.9982,-0.7785,0.1486,1.275
5.237,-1.0093,-0.7874,0.1394,1.288
5.24,-1.0209,-0.7963,0.1281,1.301
5.242,-1.03,-0.8042,0.1188,1.3119999999999998
5.245,-1.0405,-0.8097,0.108,1.3230000000000002
5.247,-1.0477,-0.8162,0.0939,1.331
5.249,-1.0518,-0.823,0.0806,1.338
5.255,-1.056,-0.8299,0.0679,1.345
5.256,-1.0578,-0.8333,0.0542,1.348
5.257,-1.0547,-0.8377,0.04,1.347
5.259,-1.0521,-0.8406,0.0264,1.347
5.262,-1.0505,-0.842,0.0146,1.3459999999999999
5.265,-1.0484,-0.8434,0.0019,1.3459999999999999
5.267,-1.0434,-0.8433,-0.0069,1.3419999999999999
5.269,-1.038,-0.8389,-0.0157,1.335
5.271,-1.0317,-0.831,-0.022,1.325
5.274,-1.0234,-0.8216,-0.0279,1.3130000000000002
5.277,-1.0146,-0.8112,-0.0319,1.2990000000000002
5.279,-1.0055,-0.7983,-0.0362,1.284
5.281,-0.9953,-0.7855,-0.0406,1.2690000000000001
5.284,-0.9832,-0.7711,-0.0474,1.25
5.287,-0.9706,-0.7581,-0.0582,1.2329999999999999
5.289,-0.9569,-0.7438,-0.0645,1.214
5.291,-0.9434,-0.7304,-0.0714,1.195
5.294,-0.9298,-0.718,-0.0762,1.177
5.296,-0.9196,-0.7042,-0.0845,1.161
5.299,-0.9124,-0.6914,-0.0903,1.148
5.301,-0.9056,-0.679,-0.0962,1.136
5.304,-0.9007,-0.6652,-0.104,1.125
5.306,-0.8955,-0.6514,-0.1094,1.113
5.309,-0.8916,-0.6381,-0.1157,1.103
5.311,-0.8883,-0.6283,-0.1216,1.095
5.314,-0.8854,-0.6184,-0.127,1.087
5.316,-0.8855,-0.6121,-0.1304,1.084
5.318,-0.8846,-0.6047,-0.1328,1.08
5.321,-0.8841,-0.5988,-0.1348,1.0759999999999998
5.323,-0.8803,-0.5919,-0.1358,1.069
5.326,-0.8794,-0.5856,-0.1362,1.065
5.328,-0.8785,-0.5792,-0.1338,1.061
5.332,-0.8776,-0.5733,-0.1314,1.056
5.333,-0.8772,-0.5694,-0.1284,1.054
5.335,-0.8744,-0.5635,-0.1255,1.048
5.338,-0.8725,-0.5601,-0.1201,1.044
5.34,-0.8706,-0.5571,-0.1157,1.04
5.344,-0.8697,-0.5551,-0.1137,1.038
5.345,-0.8688,-0.5497,-0.1059,1.034
5.348,-0.8665,-0.5483,-0.101,1.03
5.35,-0.8665,-0.5483,-0.0952,1.03
5.353,-0.867,-0.5483,-0.0893,1.03
5.355,-0.8666,-0.5493,-0.083,1.0290000000000001
5.357,-0.8658,-0.5483,-0.0747,1.0270000000000001
5.36,-0.8639,-0.5473,-0.0673,1.025
5.362,-0.8634,-0.5473,-0.0585,1.024
5.365,-0.864,-0.5444,-0.0507,1.022
5.367,-0.8612,-0.5429,-0.0443,1.0190000000000001
5.37,-0.8599,-0.5399,-0.0341,1.016
5.372,-0.857,-0.5379,-0.0237,1.012
5.375,-0.8557,-0.5345,-0.015,1.0090000000000001
5.377,-0.8548,-0.5359,-0.0056,1.0090000000000001
5.38,-0.8515,-0.533,0.0042,1.005
5.382,-0.8535,-0.535,0.0134,1.0070000000000001
5.385,-0.8546,-0.536,0.0232,1.0090000000000001
5.39,-0.8557,-0.535,0.0305,1.01
5.39,-0.8533,-0.5306,0.0369,1.006
5.392,-0.8548,-0.5306,0.0442,1.0070000000000001
5.394,-0.8515,-0.5282,0.0515,1.003
5.517,-0.8516,-0.5257,0.0599,1.003
5.518,-0.8493,-0.5223,0.0653,0.9990000000000001
5.518,-0.8489,-0.5174,0.0692,0.997
5.518,-0.8451,-0.5149,0.075,0.992
5.518,-0.8422,-0.5134,0.0794,0.99
5.519,-0.8408,-0.5115,0.0858,0.988
5.519,-0.8409,-0.51,0.0927,0.988
5.519,-0.8424,-0.5106,0.0985,0.99
5.519,-0.8444,-0.5066,0.1044,0.99
5.52,-0.846,-0.5027,0.1113,0.99
5.52,-0.8451,-0.5032,0.1162,0.99
5.52,-0.8491,-0.4994,0.1206,0.992
5.52,-0.8521,-0.5009,0.1269,0.997
5.521,-0.856,-0.5005,0.1308,1.0
5.521,-0.8615,-0.4996,0.1372,1.005
5.521,-0.8654,-0.4986,0.1411,1.0090000000000001
5.521,-0.8714,-0.4992,0.1489,1.015
5.522,-0.8788,-0.5008,0.1567,1.023
5.522,-0.8842,-0.5008,0.164,1.0290000000000001
5.523,-0.8872,-0.5029,0.1718,1.034
5.523,-0.8902,-0.5014,0.1816,1.038
5.523,-0.8942,-0.5019,0.1909,1.043
5.523,-0.9002,-0.5006,0.2036,1.05
5.524,-0.9043,-0.4992,0.2139,1.055
5.525,-0.9128,-0.4983,0.2237,1.064
5.525,-0.9212,-0.497,0.2369,1.073
5.525,-0.9301,-0.4996,0.2506,1.085
5.525,-0.9385,-0.4992,0.2633,1.095
5.526,-0.9479,-0.4979,0.274,1.105
5.526,-0.9568,-0.498,0.2848,1.1159999999999999
5.526,-0.9686,-0.5001,0.2921,1.129
5.526,-0.9794,-0.4992,0.2999,1.139
5.526,-0.9917,-0.5013,0.3043,1.1520000000000001
5.527,-1.0019,-0.5019,0.3077,1.162
5.527,-1.0142,-0.5035,0.3136,1.175
5.527,-1.0255,-0.5052,0.317,1.186
5.527,-1.0368,-0.5038,0.3185,1.196
5.527,-1.0495,-0.503,0.3195,1.207
5.528,-1.0607,-0.5021,0.317,1.216
5.528,-1.0711,-0.4974,0.3185,1.2229999999999999
5.528,-1.0818,-0.4941,0.317,1.2309999999999999
5.528,-1.0922,-0.4908,0.3145,1.238
5.528,-1.1019,-0.4879,0.3101,1.244
5.529,-1.1146,-0.4841,0.3042,1.253
5.529,-1.1243,-0.4803,0.2984,1.2590000000000001
5.529,-1.1352,-0.474,0.2935,1.265
5.529,-1.1435,-0.4708,0.2895,1.27
5.529,-1.1519,-0.4645,0.2846,1.274
5.53,-1.1602,-0.4567,0.2798,1.278
5.53,-1.1671,-0.4509,0.2739,1.281
5.53,-1.1749,-0.4461,0.2695,1.285
5.53,-1.1827,-0.4403,0.2627,1.2890000000000001
5.53,-1.19,-0.436,0.2563,1.2930000000000001
5.53,-1.1978,-0.4341,0.247,1.298
5.531,-1.2065,-0.4317,0.2396,1.304
5.534,-1.2128,-0.4288,0.2338,1.307
5.534,-1.2172,-0.4244,0.2274,1.3090000000000002
5.537,-1.2255,-0.4245,0.2196,1.315
5.54,-1.2352,-0.4227,0.2128,1.3230000000000002
5.542,-1.244,-0.4227,0.2074,1.33
5.545,-1.2488,-0.4223,0.2005,1.3330000000000002
5.547,-1.2547,-0.4214,0.1975,1.338
5.549,-1.2611,-0.4195,0.1961,1.3430000000000002
5.551,-1.2664,-0.4166,0.1941,1.347
5.554,-1.2718,-0.4142,0.1917,1.351
5.56,-1.2767,-0.4109,0.1917,1.355
5.56,-1.285,-0.4085,0.1907,1.3619999999999999
5.561,-1.2939,-0.4062,0.1907,1.369
5.564,-1.3056,-0.4092,0.1892,1.381
5.572,-1.3212,-0.4133,0.1892,1.3969999999999998
5.572,-1.3372,-0.4154,0.1872,1.413
5.573,-1.3562,-0.423,0.1857,1.433
5.573,-1.3767,-0.4297,0.1833,1.454
5.576,-1.401,-0.4412,0.1784,1.48
