0,21.102907180786133,5.7654709815979,running
1,21.021068572998047,6.140544414520264,running
2,21.183244705200195,5.86725378036499,running
3,21.053388595581055,5.808248519897461,running
4,20.07992172241211,6.1084885597229,running
5,19.541643142700195,5.522497653961182,running
6,19.475051879882812,5.2913079261779785,running
7,19.053972244262695,5.240296363830566,running
8,19.25602149963379,5.388712406158447,running
9,19.740331649780273,5.268035888671875,running
145,9.7468900680542,0.10586895793676376,standing
146,9.743118286132812,0.10747957229614258,standing
147,9.735864639282227,0.10514329373836517,standing
148,9.749396324157715,0.09731394052505493,standing
149,9.746490478515625,0.09794861078262329,standing
150,9.744681358337402,0.09488038718700409,standing
151,9.74122142791748,0.0942063182592392,standing
152,9.749617576599121,0.09690601378679276,standing
153,9.744726181030273,0.0991356149315834,standing
154,9.756171226501465,0.10663662105798721,standing
196,9.792654037475586,2.638195276260376,walking
197,9.730850219726562,2.5224483013153076,walking
198,9.786404609680176,2.5914249420166016,walking
199,9.909357070922852,2.4753196239471436,walking
200,10.00080394744873,2.6652421951293945,walking
201,10.09310245513916,2.5360336303710938,walking
202,10.078993797302246,2.5164339542388916,walking
203,10.1122407913208,2.5077261924743652,walking
204,10.002543449401855,2.64345121383667,walking
205,9.959264755249023,2.478170394897461,walking
251,10.004387855529785,2.0208609104156494,walking
252,10.112351417541504,1.9484158754348755,walking
253,10.099767684936523,1.8933576345443726,walking
294,18.87306022644043,6.106145858764648,running
295,18.544462203979492,6.115316390991211,running
296,18.87296485900879,6.1180419921875,running
392,9.820123672485352,0.11354457587003708,standing
393,9.827657699584961,0.1104673519730568,standing
394,9.82271957397461,0.11503385007381439,standing
2159,9.705363273620605,0.09252108633518219,standing
